Epsilon,Baseline CNN,JEM (0 steps),JEM (1 step),JEM (10 steps),JEM (25 steps)
0.0,99.2,94.8,94.8,94.8,94.8
0.5,97.8,92.9,92.8,93.5,93.8
1.0,94.0,89.2,89.3,90.8,91.8
1.5,86.1,85.6,86.1,87.8,88.7
2.0,73.4,78.4,78.9,83.8,85.9
2.5,55.3,69.4,70.6,78.7,81.9
3.0,35.2,59.2,60.9,71.1,76.7
4.0,11.1,33.0,36.0,54.6,63.4
5.0,3.1,9.4,12.8,35.3,49.4
10.0,0.7,0.0,0.0,0.8,15.5
